STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
13,43,950100,13043950100,5091,2217,P,228740155,223194408,13,43,950200,13043950200,3500,1611,P,246553436,241174208,1890,1890,0,0,0,0,0,0,0,0,0,0
13,43,950100,13043950100,5091,2217,P,228740155,223194408,13,43,950300,13043950300,2407,933,P,169249669,165116209,2269,2269,0,0,0,0,0,0,0,0,0,0
13,43,950200,13043950200,3500,1611,P,246567139,241187911,13,43,950300,13043950300,2407,933,P,169249669,165116209,17114,17114,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,43,950300,13043950300,2407,933,P,169231109,165097649,13,31,110800,13031110800,2542,1122,P,186825249,177680980,823,823,0,0,0,0,0,0,0,0,0,0
13,45,990102,13045990102,14293,5486,P,101369418,99798512,13,45,910101,13045910101,5929,2620,P,16674158,16608898,110,110,0,0,0,0,0,0,0,0,0,0
13,45,990200,13045990200,11728,4599,P,120297207,118709833,13,45,910104,13045910104,9273,3538,P,44954375,44237484,18345,18345,0.02,0.02,0.04,0.04,0,0,0,0,0,0
13,45,990702,13045990702,7738,3291,P,61404403,60171152,13,45,910703,13045910703,7972,3329,P,35824147,34767238,1435,1435,0,0,0,0,0,0,0,0,0,0
13,47,30200,13047030200,10940,4511,P,51058504,50646097,13,47,30402,13047030402,6192,2556,P,21844686,21637046,1128,871,0,0,0.01,0,0,0,0,0,0,0
13,49,990100,13049990100,9330,3196,P,1240533571,1225667872,13,25,960200,13025960200,6224,2746,P,504943526,499108909,101873,100315,0.01,0.01,0.02,0.02,0,0,0,0,0,0
13,49,990100,13049990100,9330,3196,P,1240533571,1225667872,13,39,10100,13039010100,3114,1657,P,726028148,657684210,6146,0,0,0,0,0,0,0,0,0,0,0
13,49,990100,13049990100,9330,3196,P,1240533571,1225667872,13,299,950800,13299950800,6398,2983,P,1281896886,1255802793,349290,346001,0.03,0.03,0.03,0.03,0,0,0,0,0,0
13,49,990200,13049990200,2841,1279,P,786012807,778090310,13,299,950800,13299950800,6398,2983,P,1281896886,1255802793,372,372,0,0,0,0,0,0,0,0,0,0
13,51,100,13051000100,1811,315,P,1310996,1153183,13,51,10605,13051010605,11,12,P,6701516,3850303,74072,0,5.65,0,1.11,0,0,0,0,0,0,0
13,51,300,13051000300,1886,1091,P,1479590,1154372,13,51,10101,13051010101,917,534,P,12453085,9559060,4285,4285,0.29,0.37,0.03,0.04,0,0,0,0,0,0
13,51,300,13051000300,1886,1091,P,1479590,1154372,13,51,10605,13051010605,11,12,P,6701516,3850303,167140,0,11.3,0,2.49,0,0,0,0,0,0,0
13,51,300,13051000300,1886,1091,P,1479590,1154372,13,51,11200,13051011200,1894,1239,P,676756,676756,254,254,0.02,0.02,0.04,0.04,0,0,0,0,0,0
13,51,601,13051000601,4528,1538,P,3576665,3576578,13,51,11200,13051011200,1894,1239,P,676756,676756,1304,1304,0.04,0.04,0.19,0.19,0,0,0,0,0,0
13,51,601,13051000601,4528,1538,P,3576665,3576578,13,51,11600,13051011600,2307,984,P,3133090,3126880,14387,14387,0.4,0.4,0.46,0.46,0,0,0,0,0,0
13,51,1100,13051001100,2192,1135,P,1579764,1579764,13,51,3700,13051003700,1405,639,P,1754466,1754466,1371,1371,0.09,0.09,0.08,0.08,0,0,0,0,0,0
